Category: All categories

Week,labubu: (China),labubu: (Hong Kong),labubu: (Worldwide)
2024-03-31,0,1,1
2024-04-07,5,2,1
2024-04-14,6,3,1
2024-04-21,4,1,1
2024-04-28,0,2,1
2024-05-05,0,3,1
2024-05-12,0,1,1
2024-05-19,0,2,1
2024-05-26,0,3,1
2024-06-02,0,3,1
2024-06-09,0,3,1
2024-06-16,0,2,1
2024-06-23,0,2,1
2024-06-30,0,2,1
2024-07-07,7,2,2
2024-07-14,0,3,2
2024-07-21,5,2,2
2024-07-28,5,3,2
2024-08-04,5,3,3
2024-08-11,4,3,4
2024-08-18,0,4,4
2024-08-25,5,3,4
2024-09-01,5,3,4
2024-09-08,7,4,5
2024-09-15,12,5,8
2024-09-22,10,8,8
2024-09-29,8,11,9
2024-10-06,11,14,12
2024-10-13,13,23,15
2024-10-20,14,24,15
2024-10-27,18,22,13
2024-11-03,11,26,11
2024-11-10,9,29,10
2024-11-17,11,36,9
2024-11-24,7,39,8
2024-12-01,9,46,8
2024-12-08,11,55,8
2024-12-15,17,76,9
2024-12-22,22,100,12
2024-12-29,18,82,12
2025-01-05,11,71,12
2025-01-12,10,63,10
2025-01-19,9,67,10
2025-01-26,12,95,10
2025-02-02,8,74,11
2025-02-09,9,75,11
2025-02-16,6,71,11
2025-02-23,10,66,12
2025-03-02,9,55,13
2025-03-09,7,46,13
2025-03-16,8,42,15
2025-03-23,9,36,15
2025-03-30,9,36,15
2025-04-06,7,31,14
2025-04-13,13,44,16
2025-04-20,16,67,22
2025-04-27,20,53,28
2025-05-04,17,45,28
2025-05-11,21,36,33
2025-05-18,25,45,42
2025-05-25,39,49,51
2025-06-01,48,51,63
2025-06-08,100,83,73
2025-06-15,92,97,90
2025-06-22,58,70,94
2025-06-29,38,56,88
2025-07-06,39,51,91
2025-07-13,28,46,100
2025-07-20,32,47,93
2025-07-27,27,46,87
2025-08-03,45,49,85
